chain,address,categories,entity,source,your_category
bitcoin_mainnet,1fazcvxphv7jyqysdsqgbriwz8kj6sywee,cex,,external,exchange
bitcoin_mainnet,1ngnx43kugpnotcfsn5c6us2r5xzetysyc,cex,,external,exchange
bitcoin_mainnet,3dnpvvhzcjcyus6wlfkmdjw9uv47fffgsm,cex,coinbase,heuristic,exchange
ethereum_mainnet,0x9a31182728a152e955c17da1f012d6949ac836a5,cex,bitget,ground_truth,exchange
ethereum_mainnet,0x2973e418cb7dffa75d24b0f8bf445c8b7d90f196,exchange,binance,heuristic,exchange
ethereum_mainnet,0xf1f30342f904f03103cc805037e6f8db9e362e4d,exchange,binance,heuristic,exchange
ethereum_mainnet,0x7f2fdfd2438942348f6f270f5bc7a9f15ecbd925,exchange,binance,heuristic,exchange
ethereum_mainnet,0x8b3ba9c4fc3e573a5120effb50250bba55ab2ec9,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0xc2953dfaaadf746341048ab8870cbc5418701811,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x5f8a48b24980da3ba8c4f1e4c680528ad0666a61,exchange,binance,heuristic,exchange
ethereum_mainnet,0xf4107d7db445ca62af50d3aa542694532ead6dcf,cex,gate_io,ground_truth,exchange
bitcoin_mainnet,3k3vqjm4oahfqn1xvjrh5kfep8wgjnithm,cex,,heuristic,exchange
ethereum_mainnet,0x64abb21b1ca42cb2a16523cd24b1d462ec0fb738,cex,ascendex,external,exchange
ethereum_mainnet,0x5d9b1c4165536ce210907d9b49f251062568e97c,exchange,binance,heuristic,exchange
bitcoin_mainnet,1nk4pvzhxccd8qjjrsb1zqqtmdd7uczt8s,cex,binance,external,exchange
ethereum_mainnet,0x81e3853a0fb429b07e6d268d62c8e7c1d49fa66f,exchange,binance,heuristic,exchange
ethereum_mainnet,0x3384d9a5544f9ce2e14b0c1de59e3b4bf3edaf3a,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x9a11b59c44da0b8ffea4d610823fc2e9ebe73b46,exchange,binance,heuristic,exchange
bitcoin_mainnet,1fzaqncda2xhq8avjxqxa61yrx4eitcsfr,cex,,external,exchange
bitcoin_mainnet,3ntmsfpkjgfcvl1vh4jm59svuvgefa7cfc,cex,crypto_com,external,exchange
ethereum_mainnet,0x4fe416c9d7c0e3e41cbe3cd73374bdde0dbae645,exchange,binance,heuristic,exchange
ethereum_mainnet,0xa0e4cd46ca58c700bb63610dbb99ece76312b09d,exchange,binance,heuristic,exchange
ethereum_mainnet,0xa3230c1872617691e31bd44290ea4500e4410687,exchange,binance,heuristic,exchange
bitcoin_mainnet,1gevcbaziykpwp6ztk8fzuk7aqrq46h9p7,cex,,external,exchange
ethereum_mainnet,0x134211074255b8013f354c9dd1ee2437f1a434ae,exchange,binance,heuristic,exchange
ethereum_mainnet,0x6742eff6025304b5dbd86448d5e19b6b9e7ce97b,exchange,binance,heuristic,exchange
